PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
287167,11,28,Central Region,Bukit Timah,1.330778128,103.8092534
287171,11,28,Central Region,Bukit Timah,1.330785118,103.8093195
309072,11,30,Central Region,Novena,1.317010997,103.8392483
289540,11,28,Central Region,Bukit Timah,1.334004317,103.7990547
287548,11,28,Central Region,Bukit Timah,1.330222818,103.8098823
309029,11,30,Central Region,Novena,1.320994009,103.8337034
287156,11,28,Central Region,Bukit Timah,1.330576987,103.8090042
287140,11,28,Central Region,Bukit Timah,1.330224214,103.8092511
287557,11,28,Central Region,Bukit Timah,1.330417445,103.8099391
287565,11,28,Central Region,Bukit Timah,1.330475377,103.809558
288063,11,28,Central Region,Bukit Timah,1.347042771,103.7907314
287185,11,28,Central Region,Bukit Timah,1.33082063,103.8096588
309427,11,30,Central Region,Novena,1.316416582,103.8376048
288009,11,28,Central Region,Bukit Timah,1.347200483,103.7896726
309426,11,30,Central Region,Novena,1.316177418,103.837815
287146,11,28,Central Region,Bukit Timah,1.330268574,103.8091223
307742,11,30,Central Region,Novena,1.315998955,103.8415887
287162,11,28,Central Region,Bukit Timah,1.330715895,103.8089853
308090,11,30,Central Region,Novena,1.318459441,103.8474821
299291,11,29,Central Region,Novena,1.328378192,103.8192807
289546,11,28,Central Region,Bukit Timah,1.334324305,103.7986796
287157,11,28,Central Region,Bukit Timah,1.330576987,103.8090042
307644,11,30,Central Region,Novena,1.320478931,103.8419945
309495,11,30,Central Region,Novena,1.317789664,103.8370059
289544,11,28,Central Region,Bukit Timah,1.334285741,103.7988509
287562,11,28,Central Region,Bukit Timah,1.330475377,103.809558
309114,11,30,Central Region,Novena,1.318621869,103.8416299
287148,11,28,Central Region,Bukit Timah,1.330379176,103.8089641
288062,11,28,Central Region,Bukit Timah,1.347377135,103.7910612
309304,11,30,Central Region,Novena,1.315906663,103.8399478
299290,11,29,Central Region,Novena,1.328412332,103.8195084
287137,11,28,Central Region,Bukit Timah,1.330202217,103.8093149
287177,11,28,Central Region,Bukit Timah,1.330799271,103.8094538
287134,11,28,Central Region,Bukit Timah,1.330180077,103.8093792
287538,11,28,Central Region,Bukit Timah,1.330025172,103.8098246
287130,11,28,Central Region,Bukit Timah,1.330157448,103.8094449
289534,11,28,Central Region,Bukit Timah,1.333754285,103.7986483
287165,11,28,Central Region,Bukit Timah,1.330771205,103.8091839
287174,11,28,Central Region,Bukit Timah,1.330792351,103.8093872
287541,11,28,Central Region,Bukit Timah,1.330092633,103.8098443
287164,11,28,Central Region,Bukit Timah,1.33077138,103.809184
287566,11,28,Central Region,Bukit Timah,1.330475377,103.809558
287127,11,28,Central Region,Bukit Timah,1.330135459,103.8095087
287170,11,28,Central Region,Bukit Timah,1.330785036,103.8093194
287567,11,28,Central Region,Bukit Timah,1.330475377,103.809558
289542,11,28,Central Region,Bukit Timah,1.334181048,103.7989817
287539,11,28,Central Region,Bukit Timah,1.330025173,103.8098246
287159,11,28,Central Region,Bukit Timah,1.330644685,103.8090087
329776,12,32,Central Region,Novena,1.325285587,103.852835
328071,12,32,Central Region,Kallang,1.324379663,103.8638339
329557,12,32,Central Region,Novena,1.324937124,103.8460689
329857,12,32,Central Region,Novena,1.327168745,103.8455186
329949,12,32,Central Region,Novena,1.322225302,103.8517749
328708,12,32,Central Region,Kallang,1.327912172,103.8631876
328754,12,32,Central Region,Novena,1.324671465,103.8539103
329585,12,32,Central Region,Novena,1.326970701,103.8497165
328837,12,32,Central Region,Novena,1.324672194,103.8528504
